Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,split,metadata_csv,label,media_path,media_folder,wav_path
1,also I was the point person on my companys transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt0.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/19d67c38cf307a822c699e59d157ad8c.wav
2,You mustve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt1.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/cdd08d3aff359d9f6923edfba0156054.wav
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt2.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/86abad808a58dba4861af9560a3eba29.wav
4,So lets talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt3.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/386057fd7fa0f03a473856b7ef5d3dfb.wav
5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,surprise,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt4.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/892f980b94d76605d404f9c32332c950.wav
6,"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt5.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/416ab66a9930eed91791dc2532621faf.wav
7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt6.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/416a3a7b73cab907d83056785d71a671.wav
8,But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt7.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/be14f4ee8c0ad50fe0bc5a5922dbcc96.wav
9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt8.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/fc916f06a251cb33207e60de07517d70.wav
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",train,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_sent_emo.csv,neutral,/content/XAI_MELD_Project/data/MELD/MELD.Raw/train_splits/dia0_utt9.mp4,train_splits,/content/drive/MyDrive/XAI_MELD_Project/cache/meld_ssl_cbm_xai/audio_cache_wav16k/314e2675d6a197fd6813f3776eea2fed.wav
