sample_index_in_test,true_label,original_prediction,intervened_concept,intervention,new_prediction,original_predicted_class_probability,new_original_class_probability,probability_change_for_original_class
0,surprise,neutral,spectral_centroid_mean,+1 std,neutral,0.18589832847156426,0.2814529029108222,0.09555457443925794
0,surprise,neutral,spectral_rolloff_mean,-1 std,fear,0.18589832847156426,0.17358183521202258,-0.012316493259541678
0,surprise,neutral,spectral_bandwidth_mean,+1 std,sadness,0.18589832847156426,0.17547538381671587,-0.010422944654848387
0,surprise,neutral,mfcc_2_mean,+1 std,neutral,0.18589832847156426,0.24314513015865608,0.057246801687091814
0,surprise,neutral,mfcc_1_mean,-1 std,sadness,0.18589832847156426,0.1847709516185553,-0.0011273768530089545
1,anger,disgust,spectral_centroid_mean,-1 std,disgust,0.18756294012157626,0.2395099820693237,0.051947041947747435
1,anger,disgust,spectral_rolloff_mean,+1 std,anger,0.18756294012157626,0.2273898651203826,0.03982692499880633
1,anger,disgust,spectral_bandwidth_mean,-1 std,anger,0.18756294012157626,0.20785659582643182,0.020293655704855557
1,anger,disgust,mfcc_2_mean,+1 std,disgust,0.18756294012157626,0.20972170155905348,0.02215876143747722
1,anger,disgust,mfcc_1_mean,+1 std,anger,0.18756294012157626,0.20076677877370186,0.013203838652125599
2,neutral,neutral,spectral_centroid_mean,+1 std,neutral,0.2226737201905593,0.31531987541256684,0.09264615522200753
2,neutral,neutral,spectral_rolloff_mean,-1 std,fear,0.2226737201905593,0.22540630244696563,0.002732582256406324
2,neutral,neutral,spectral_bandwidth_mean,+1 std,neutral,0.2226737201905593,0.2258526704347269,0.0031789502441675888
2,neutral,neutral,mfcc_2_mean,+1 std,neutral,0.2226737201905593,0.2858163631779554,0.06314264298739608
2,neutral,neutral,mfcc_1_mean,-1 std,neutral,0.2226737201905593,0.22632206488300363,0.003648344692444322
3,neutral,anger,spectral_centroid_mean,+1 std,anger,0.20734525609585275,0.3169656204745535,0.10962036437870076
3,neutral,anger,spectral_rolloff_mean,+1 std,anger,0.20734525609585275,0.2550107150759048,0.04766545898005203
3,neutral,anger,spectral_bandwidth_mean,-1 std,anger,0.20734525609585275,0.31027213973999873,0.10292688364414598
3,neutral,anger,mfcc_2_mean,-1 std,fear,0.20734525609585275,0.220658340830365,0.01331308473451226
3,neutral,anger,mfcc_1_mean,+1 std,anger,0.20734525609585275,0.2626350775350272,0.055289821439174436
4,joy,disgust,spectral_centroid_mean,-1 std,fear,0.19592898992111857,0.24257854732302214,0.046649557401903574
4,joy,disgust,spectral_rolloff_mean,+1 std,disgust,0.19592898992111857,0.23331210836327504,0.03738311844215647
4,joy,disgust,spectral_bandwidth_mean,-1 std,anger,0.19592898992111857,0.2134525624614816,0.01752357254036302
4,joy,disgust,mfcc_2_mean,+1 std,disgust,0.19592898992111857,0.22373122758365363,0.027802237662535062
4,joy,disgust,mfcc_1_mean,+1 std,disgust,0.19592898992111857,0.20759274326488264,0.011663753343764072
5,joy,disgust,spectral_centroid_mean,-1 std,fear,0.18488141598285998,0.2262409306165529,0.04135951463369292
5,joy,disgust,spectral_rolloff_mean,+1 std,disgust,0.18488141598285998,0.21942683571403818,0.034545419731178195
5,joy,disgust,spectral_bandwidth_mean,-1 std,anger,0.18488141598285998,0.20267391754934821,0.017792501566488234
5,joy,disgust,mfcc_2_mean,+1 std,disgust,0.18488141598285998,0.21182401494918388,0.026942598966323894
5,joy,disgust,mfcc_1_mean,+1 std,anger,0.18488141598285998,0.19792350881590545,0.013042092833045471
6,joy,anger,spectral_centroid_mean,+1 std,anger,0.2072510105244775,0.31827985333019504,0.11102884280571754
6,joy,anger,spectral_rolloff_mean,+1 std,anger,0.2072510105244775,0.2580779781931747,0.05082696766869718
6,joy,anger,spectral_bandwidth_mean,-1 std,anger,0.2072510105244775,0.31354733465185314,0.10629632412737564
6,joy,anger,mfcc_2_mean,-1 std,fear,0.2072510105244775,0.21651078624233164,0.009259775717854135
6,joy,anger,mfcc_1_mean,+1 std,anger,0.2072510105244775,0.2637385898608464,0.056487579336368915
7,joy,anger,spectral_centroid_mean,+1 std,anger,0.19828784427466678,0.3063660819168655,0.1080782376421987
7,joy,anger,spectral_rolloff_mean,+1 std,surprise,0.19828784427466678,0.23570725881560298,0.0374194145409362
7,joy,anger,spectral_bandwidth_mean,-1 std,anger,0.19828784427466678,0.29071070788548087,0.09242286361081409
7,joy,anger,mfcc_2_mean,-1 std,anger,0.19828784427466678,0.21571730517739313,0.017429460902726346
7,joy,anger,mfcc_1_mean,+1 std,anger,0.19828784427466678,0.25118279576056474,0.052894951485897956
8,joy,disgust,spectral_centroid_mean,-1 std,disgust,0.18206663655218364,0.22506657412041256,0.042999937568228924
8,joy,disgust,spectral_rolloff_mean,+1 std,disgust,0.18206663655218364,0.22001748794850914,0.03795085139632551
8,joy,disgust,spectral_bandwidth_mean,-1 std,disgust,0.18206663655218364,0.20689587108485893,0.0248292345326753
8,joy,disgust,mfcc_2_mean,+1 std,disgust,0.18206663655218364,0.20230045714518108,0.020233820592997442
8,joy,disgust,mfcc_1_mean,+1 std,disgust,0.18206663655218364,0.19971420784784447,0.01764757129566083
9,joy,disgust,spectral_centroid_mean,-1 std,fear,0.26403921349323184,0.29358768397643265,0.029548470483200806
9,joy,disgust,spectral_rolloff_mean,+1 std,disgust,0.26403921349323184,0.32875100821654857,0.06471179472331673
9,joy,disgust,spectral_bandwidth_mean,-1 std,disgust,0.26403921349323184,0.30635694312194633,0.042317729628714496
9,joy,disgust,mfcc_2_mean,+1 std,disgust,0.26403921349323184,0.30907934665265857,0.04504013315942673
9,joy,disgust,mfcc_1_mean,+1 std,disgust,0.26403921349323184,0.285746290580369,0.02170707708713715
